frame,gt_id,x,y,w,h
12,3,56.17,45.68,1.50,1.50
13,3,60.56,48.61,1.50,1.50
14,3,64.70,46.46,1.50,1.50
15,3,68.55,48.48,1.50,1.50
16,3,72.94,49.96,1.50,1.50
17,3,77.22,50.13,1.50,1.50
18,3,80.81,49.62,1.50,1.50
19,3,85.21,53.00,1.50,1.50
20,3,88.72,52.71,1.50,1.50
21,3,92.88,54.08,1.50,1.50
22,3,96.54,57.96,1.50,1.50
23,3,100.73,59.94,1.50,1.50
24,3,104.46,61.54,1.50,1.50
0,4,10.00,70.00,1.50,1.50
1,4,14.14,78.32,1.50,1.50
2,4,17.85,75.73,1.50,1.50
3,4,21.76,73.87,1.50,1.50
4,4,25.41,71.25,1.50,1.50
5,4,29.79,68.34,1.50,1.50
6,4,34.10,65.74,1.50,1.50
7,4,37.85,64.44,1.50,1.50
8,4,41.92,63.56,1.50,1.50
9,4,45.55,60.82,1.50,1.50
10,4,49.52,61.20,1.50,1.50
11,4,52.96,62.02,1.50,1.50
12,4,56.83,59.69,1.50,1.50
13,4,61.11,62.68,1.50,1.50
14,4,65.47,62.65,1.50,1.50
15,4,69.42,65.67,1.50,1.50
16,4,73.80,66.02,1.50,1.50
17,4,77.51,68.96,1.50,1.50
18,4,81.18,72.60,1.50,1.50
19,4,84.95,74.54,1.50,1.50
20,4,89.19,78.68,1.50,1.50
21,4,92.66,77.35,1.50,1.50
22,4,96.73,78.98,1.50,1.50
23,4,100.39,79.17,1.50,1.50
24,4,104.11,81.20,1.50,1.50
25,4,107.65,79.85,1.50,1.50
26,4,111.60,76.84,1.50,1.50
27,4,115.42,74.85,1.50,1.50
0,5,10.00,85.00,1.50,1.50
1,5,13.79,78.24,1.50,1.50
2,5,17.79,77.30,1.50,1.50
3,5,22.28,76.58,1.50,1.50
4,5,26.46,77.85,1.50,1.50
5,5,30.73,77.32,1.50,1.50
6,5,34.48,80.12,1.50,1.50
7,5,38.92,80.09,1.50,1.50
8,5,42.77,77.51,1.50,1.50
9,5,46.68,80.44,1.50,1.50
10,5,50.60,82.72,1.50,1.50
11,5,54.47,84.54,1.50,1.50
12,5,58.53,85.41,1.50,1.50
13,5,62.33,85.08,1.50,1.50
14,5,66.63,85.37,1.50,1.50
15,5,70.36,90.00,1.50,1.50
16,5,74.67,87.47,1.50,1.50
17,5,78.67,90.05,1.50,1.50
18,5,83.02,90.12,1.50,1.50
19,5,86.80,89.99,1.50,1.50
20,5,90.83,92.71,1.50,1.50
21,5,94.49,93.63,1.50,1.50
22,5,98.53,90.66,1.50,1.50
23,5,102.22,89.90,1.50,1.50
24,5,106.76,90.95,1.50,1.50
0,6,10.00,100.00,1.50,1.50
1,6,14.12,95.12,1.50,1.50
2,6,18.18,96.44,1.50,1.50
3,6,21.89,93.28,1.50,1.50
4,6,25.64,92.55,1.50,1.50
5,6,30.19,94.92,1.50,1.50
6,6,34.37,92.39,1.50,1.50
7,6,38.56,93.96,1.50,1.50
8,6,42.43,94.04,1.50,1.50
9,6,46.53,95.17,1.50,1.50
10,6,50.86,93.45,1.50,1.50
11,6,54.94,96.46,1.50,1.50
12,6,59.14,98.19,1.50,1.50
13,6,63.50,96.32,1.50,1.50
14,6,67.27,99.20,1.50,1.50
15,6,71.00,99.99,1.50,1.50
16,6,75.64,100.96,1.50,1.50
17,6,79.73,102.23,1.50,1.50
18,6,83.88,102.79,1.50,1.50
19,6,88.53,103.03,1.50,1.50
20,6,93.19,105.89,1.50,1.50
21,6,97.08,103.19,1.50,1.50
22,6,100.88,103.50,1.50,1.50
23,6,104.68,106.51,1.50,1.50
24,6,108.45,105.25,1.50,1.50
25,6,112.99,104.08,1.50,1.50
26,6,117.51,104.96,1.50,1.50
27,6,121.33,106.29,1.50,1.50
28,6,125.66,106.53,1.50,1.50
0,7,10.00,115.00,1.50,1.50
1,7,13.92,113.79,1.50,1.50
2,7,18.00,113.75,1.50,1.50
3,7,21.63,111.17,1.50,1.50
4,7,25.71,113.06,1.50,1.50
5,7,29.77,110.03,1.50,1.50
6,7,33.95,111.62,1.50,1.50
7,7,37.69,109.85,1.50,1.50
8,7,41.72,110.11,1.50,1.50
9,7,45.61,109.20,1.50,1.50
10,7,49.21,108.23,1.50,1.50
11,7,53.67,111.52,1.50,1.50
12,7,57.52,112.19,1.50,1.50
13,7,61.70,110.62,1.50,1.50
14,7,65.69,109.45,1.50,1.50
15,7,69.29,112.04,1.50,1.50
16,7,73.34,111.07,1.50,1.50
17,7,77.79,113.99,1.50,1.50
18,7,81.40,115.29,1.50,1.50
19,7,85.87,116.29,1.50,1.50
20,7,89.43,116.00,1.50,1.50
21,7,93.48,116.62,1.50,1.50
22,7,97.94,117.28,1.50,1.50
23,7,102.28,118.69,1.50,1.50
24,7,106.62,117.57,1.50,1.50
0,8,10.00,125.00,1.50,1.50
1,8,13.68,119.49,1.50,1.50
2,8,18.27,120.54,1.50,1.50
3,8,22.24,122.25,1.50,1.50
4,8,26.79,122.97,1.50,1.50
5,8,31.14,120.62,1.50,1.50
6,8,34.82,122.39,1.50,1.50
7,8,38.98,121.20,1.50,1.50
8,8,43.49,120.22,1.50,1.50
9,8,47.58,120.16,1.50,1.50
10,8,51.65,120.72,1.50,1.50
11,8,55.37,121.39,1.50,1.50
12,8,59.62,124.37,1.50,1.50
13,8,63.80,125.72,1.50,1.50
14,8,67.78,123.52,1.50,1.50
15,8,72.24,123.79,1.50,1.50
16,8,76.81,123.46,1.50,1.50
17,8,81.38,124.10,1.50,1.50
18,8,85.87,126.54,1.50,1.50
19,8,90.46,125.19,1.50,1.50
20,8,94.61,127.00,1.50,1.50
21,8,98.74,127.00,1.50,1.50
22,8,103.03,127.00,1.50,1.50
23,8,107.26,127.00,1.50,1.50
24,8,111.76,126.82,1.50,1.50
25,8,115.64,127.00,1.50,1.50
26,8,120.13,127.00,1.50,1.50
0,9,10.00,60.00,1.50,1.50
1,9,13.69,49.35,1.50,1.50
2,9,17.25,48.25,1.50,1.50
3,9,20.81,47.86,1.50,1.50
4,9,24.15,47.34,1.50,1.50
5,9,27.86,49.72,1.50,1.50
6,9,31.43,49.77,1.50,1.50
7,9,34.80,55.60,1.50,1.50
8,9,38.52,57.25,1.50,1.50
9,9,42.74,58.58,1.50,1.50
10,9,46.92,63.77,1.50,1.50
11,9,50.38,66.23,1.50,1.50
12,9,54.46,69.02,1.50,1.50
13,9,58.75,70.42,1.50,1.50
14,9,62.79,71.44,1.50,1.50
15,9,66.92,72.17,1.50,1.50
16,9,70.29,69.15,1.50,1.50
17,9,73.72,67.31,1.50,1.50
18,9,77.10,67.55,1.50,1.50
19,9,80.93,64.78,1.50,1.50
20,9,85.14,60.83,1.50,1.50
21,9,89.17,58.18,1.50,1.50
22,9,92.85,53.01,1.50,1.50
23,9,96.35,50.40,1.50,1.50
24,9,99.93,48.25,1.50,1.50
25,9,104.11,49.29,1.50,1.50
26,9,107.45,47.10,1.50,1.50
27,9,110.78,48.71,1.50,1.50
